InvoiceID,Date,CustomerID,Gender,AgeGroup,Region,ProductCategory,ProductName,Quantity,UnitPrice,TotalSale,Discount,Profit,PaymentMethod
INV000001,2023-01-01,CUST6734,Male,36-45,Durban,Drinks,Wine,4,238.66,954.64,69.88,362.38,Cash
INV000002,2023-01-01,CUST9322,Female,46-60,Cape Town,Starters,Chicken Wings,2,55.88,111.76,0.65,51.39,EFT
INV000003,2023-01-01,CUST3433,Female,60+,Johannesburg,Desserts,Pudding,2,32.97,65.94,4.76,31.75,EFT
INV000004,2023-01-01,CUST7396,Male,26-35,Durban,Main Course,Grilled Chicken,4,248.21,992.84,61.31,380.75,Card
INV000005,2023-01-01,CUST3047,Female,46-60,Johannesburg,Starters,Soup of the Day,4,25.3,101.2,5.31,32.38,Cash
INV000006,2023-01-01,CUST4005,Male,18-25,Pretoria,Desserts,Chocolate Cake,4,243.96,975.84,22.71,221.69,Card
INV000007,2023-01-01,CUST4556,Male,26-35,Cape Town,Starters,Garlic Bread,3,107.97,323.91,31.85,110.14,Cash
INV000008,2023-01-01,CUST9792,Female,18-25,Durban,Drinks,Wine,3,176.47,529.41,23.85,107.99,Card
INV000009,2023-01-01,CUST8041,Male,60+,Pretoria,Desserts,Pudding,4,149.56,598.24,23.06,122.51,EFT
INV000010,2023-01-01,CUST1775,Male,26-35,Port Elizabeth,Main Course,Beef Burger,4,75.44,301.76,20.62,115.57,Card
INV000011,2023-01-01,CUST8555,Female,26-35,Cape Town,Main Course,Fish & Chips,3,59.87,179.61,7.02,45.74,EFT
INV000012,2023-01-01,CUST7873,Male,36-45,Cape Town,Main Course,Steak,2,117.79,235.58,4.9,87.24,EFT
INV000013,2023-01-01,CUST8629,Male,60+,Pretoria,Drinks,Wine,4,236.08,944.32,84.5,358.25,Cash
INV000014,2023-01-01,CUST8916,Female,18-25,Johannesburg,Starters,Soup of the Day,3,139.79,419.37,40.31,190.13,Cash
INV000015,2023-01-01,CUST7331,Female,60+,Cape Town,Desserts,Pudding,2,144.13,288.26,16.91,141.13,Card
